"name","description","category","url"
"nxs edser","Marketing services for coaching","Communication","http://www.nxsedser.in/"
"OBIEE","OBIEE Professional Tutorials","Learning","https://obieetutorialguide.blogspot.com/2015/04/write-back-setting-in-obiee-11g.html"
"OLX","Search for real estate, cars, jobs","Buy and Sell","http://m.olx.in/?language=en-IN"
"Oneindia","Online News Portal","News and Weather","http://www.oneindia.com/"
"Paam Group","Manufacturers of Shuttering Ply","Learning","http://paamgroup.com/"
"Pharmaceutical Guidelines","Total pharmaceutical solution.","Learning","http://www.pharmaguideline.com/"
"Power Thesaurus","Free Crowdsourced English Thesaurus","Communication","https://www.powerthesaurus.org/"
"Raja Sudhakar","Musician and Singer","Sports and Entertainment","http://rajasudhakar.co/"
"rajrami.blogspot.in","Hi I Am Raj Rami","Communication","http://rajrami.blogspot.in/"
"REFUNITE","Connecting families","Communication","https://m.refunite.org/"
"Reuters Market Light","Get farming and crop information","Learning","http://app.rmlglobal.com/wap/user/demo/login?state_id=UA&language_id=EN"
"Ring MD","Talk to a doctor online","Health and Safety","http://m.ring.md/?lang=en"
"RJvisuals","Logo, Website Design, Branding","Communication","http://www.rjvisuals.com/"
"Savdhan Jindagi","Information about AIDS and HIV","Health and Safety","http://savdhanjindagi.blogspot.com/"
"Shop With Blog","Shoping site","Sports and Entertainment","http://shopwithblog.blogspot.in/"
"Skymet","Get local weather information and stories","News and Weather","http://www.skymetweather.com/?force=mobile&view=fb"
"SmartWoman","Empowerment skills for women","Women and Girls","http://m-smartwoman.com/in/en"
"Socialblood","Register to donate","Health and Safety","http://blood.is/"
"Sriznaks","A place for Artworks","Sports and Entertainment","http://sriznaks.blogspot.com/"
"Taijul.com","Taijul .com Here gets anything ..","Sports and Entertainment","http://taijul.com/"
"Tambero.com","Get tools and info for farmers","Finance","https://m.tambero.com/en-in"
"The Beehive","Information about daily issues","Learning","http://india-app.thebeehive.org/hi"
"The FireWoods","A wonderful blog about everything.","Learning","http://www.thefirewoods.org/"
"The Global Goals for Sustainable Development","The Global Goals","Communication","http://m.globalgoals.org/"
"Thesaurus","Find new and similar words","Learning","http://www.thesaurus.com/"
"theswiftservices.com","Digital Marketing Company","Communication","http://theswiftservices.com/"
"Times of India","Read news","News and Weather","http://m.timesofindia.com/"
"Translator","Translate words and phrases","Learning","http://translate.reference.com/translate?src=en&dst=hi"
"Travtasy","A lifestyle blog from India","Sports and Entertainment","http://icetrail.blogspot.com/"
"Trickspot","a complete spot for free tricks","Learning","http://trickspot.in/"
"U-Report","Discuss issues that matter to you","Learning","http://ureport.in/"
"Upma Cafe & Drinks","my is all computer jod and drinks","Sports and Entertainment","http://upmasoda.blogspot.in/"
"VirtualPediatricHospital.org","A pediatric digital library","Health and Safety","http://www.virtualpediatrichospital.org/"
"Voice Whoop","Place for Fun Sharing","Sports and Entertainment","https://voicewhoop.com/"
"vRemind","Vaccination reminders for children","Health and Safety","http://www.vremind.org/vremind/fb/changelanguage.do?ln=en"
"Wattpad","Read free books and stories!","Learning","http://m.wattpad.com/?l=1&q=classics"
"wikiHow","Find information","Learning","http://m.wikihow.com/Main-Page"
"Wikipedia","Find information","Learning","http://en.m.wikipedia.org/"
"Worldbee","Worldbee Spread free information","Learning","http://worldbee.in/"
"Worldreader","Read. Learn. Grow.","Learning","http://read.worldreader.org/"
"www.aarusheesolar.com","","Learning","http://aarusheesolar.com/"
"www.akhbaarwala.com","Online News provider","News and Weather","http://www.akhbaarwala.com/"
"www.bollywoodking.in","Full mp3 Song Garba Song","Sports and Entertainment","http://www.bollywoodking.in/"
"www.creativeskill.in","Handwriting Improvement school","Learning","http://www.creativeskill.in/"
"www.environmentfirst.in","In the field of Environment","Learning","http://www.environmentfirst.in/"
"www.igpatelco.com","Advocate","Finance","http://Www.igpatelco.com/"
"www.just2home.com","Install, Repair and Cleaning one pt","Jobs","http://www.just2home.com/"
"www.phonicsindia.mobi","Free Phonics teaching guidance","Learning","http://phonicsindia.mobi/"
"www.risingbirds.weebly.com","Interior and exterior 3d modelling","Communication","http://www.risingbirds.weebly.com/"
"www.saimanagement.co.in","HR Management Consultancy","Learning","http://www.saimanagement.co.in/"
"www.shops4u.in","Compare prices in local shops.","Communication","http://www.shops4u.in/"
"www.statisticiana.com","Data Analysis,Statistical Services","Learning","http://www.statisticiana.com/"
"Your Money","Have money when you need it!","Finance","http://yourmoneyguide.mobi/in/saving/en"
"Youth Opportunities","Opportunity platform for youths.","Learning","http://youthop.com/"
"बीबीसी हिंदी","दुनिया भर की ताज़ा ख़बरें पढ़िए","News and Weather","http://www.bbc.co.uk/hindi"
"பிபிசி தமிழ்","தற்போது வந்த உலகச் செய்திகளைப்","News and Weather","http://www.bbc.co.uk/tamil"
